MonthlyCharges,tenure,Contract,gender,SeniorCitizen,Partner,Dependents,InternetService,PaymentMethod,Actual_Churn,Predicted_Churn
58.6,47,Month-to-month,Female,0,Yes,No,DSL,Bank transfer (automatic),0,0
21.0,31,Two year,Female,0,Yes,Yes,No,Mailed check,0,0
84.05,52,Month-to-month,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
60.8,60,Two year,Female,0,Yes,No,DSL,Credit card (automatic),0,0
65.65,48,One year,Female,0,Yes,No,DSL,Electronic check,0,0
18.85,45,One year,Male,0,No,No,No,Bank transfer (automatic),0,0
80.45,39,Two year,Female,0,No,No,Fiber optic,Electronic check,1,0
85.7,1,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,1,1
69.6,1,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
79.05,6,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,0
76.25,9,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,0,1
114.05,72,Two year,Male,0,Yes,Yes,Fiber optic,Credit card (automatic),0,0
52.3,71,Month-to-month,Male,1,Yes,No,DSL,Bank transfer (automatic),0,0
19.6,71,Two year,Male,0,Yes,Yes,No,Bank transfer (automatic),0,0
94.6,64,Two year,Female,0,Yes,No,Fiber optic,Credit card (automatic),0,0
19.55,28,Month-to-month,Female,0,Yes,Yes,No,Bank transfer (automatic),0,0
115.15,70,Two year,Female,0,Yes,Yes,Fiber optic,Credit card (automatic),0,0
95.65,39,Month-to-month,Male,1,No,No,Fiber optic,Bank transfer (automatic),1,0
20.4,16,Month-to-month,Female,0,Yes,Yes,No,Electronic check,0,0
110.85,66,One year,Male,1,Yes,No,Fiber optic,Electronic check,1,0
95.4,21,Month-to-month,Female,1,No,No,Fiber optic,Bank transfer (automatic),0,1
84.8,44,Month-to-month,Female,0,No,No,Fiber optic,Bank transfer (automatic),1,0
99.1,54,One year,Female,1,Yes,No,Fiber optic,Electronic check,0,0
56.75,4,Month-to-month,Male,0,No,No,DSL,Electronic check,0,0
110.0,60,Two year,Female,1,Yes,No,Fiber optic,Bank transfer (automatic),0,0
92.4,26,Month-to-month,Male,0,No,No,Fiber optic,Credit card (automatic),0,0
78.6,24,Two year,Female,0,Yes,Yes,DSL,Credit card (automatic),0,0
19.4,53,Two year,Male,0,Yes,Yes,No,Mailed check,0,0
19.4,46,Two year,Female,0,Yes,Yes,No,Credit card (automatic),0,0
88.9,56,One year,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
59.1,7,One year,Female,0,No,No,DSL,Electronic check,0,0
85.8,1,Month-to-month,Female,0,No,No,Fiber optic,Mailed check,1,1
45.55,1,Month-to-month,Male,0,No,No,DSL,Mailed check,0,1
19.95,60,Two year,Male,0,Yes,No,No,Mailed check,0,0
20.55,61,One year,Male,0,Yes,No,No,Credit card (automatic),0,0
33.55,42,One year,Female,0,Yes,No,DSL,Mailed check,1,0
19.85,27,Two year,Male,0,No,No,No,Credit card (automatic),0,0
85.35,9,Month-to-month,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),1,1
20.05,72,Two year,Female,0,Yes,No,No,Bank transfer (automatic),0,0
19.65,23,One year,Female,0,No,No,No,Credit card (automatic),0,0
95.05,47,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,1,0
18.95,54,Two year,Female,1,Yes,No,No,Mailed check,0,0
95.5,2,Month-to-month,Male,1,Yes,No,Fiber optic,Credit card (automatic),0,1
60.0,38,Two year,Male,0,Yes,No,DSL,Bank transfer (automatic),0,0
99.7,47,Month-to-month,Female,1,Yes,No,Fiber optic,Electronic check,0,0
56.25,22,One year,Male,0,Yes,No,DSL,Credit card (automatic),0,0
91.45,2,Month-to-month,Male,0,Yes,No,Fiber optic,Electronic check,0,1
79.05,72,Two year,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
45.3,58,Month-to-month,Male,1,Yes,No,DSL,Electronic check,1,0
79.2,69,Two year,Male,0,Yes,Yes,Fiber optic,Credit card (automatic),0,0
69.5,18,Month-to-month,Male,0,No,No,DSL,Mailed check,0,0
20.0,55,Month-to-month,Female,0,Yes,Yes,No,Credit card (automatic),0,0
101.1,46,One year,Female,0,No,No,Fiber optic,Electronic check,0,0
19.25,5,Month-to-month,Male,0,No,No,No,Mailed check,0,0
33.65,4,Month-to-month,Female,0,No,No,DSL,Electronic check,1,0
89.5,5,Month-to-month,Male,1,No,No,Fiber optic,Electronic check,1,0
61.35,65,One year,Female,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
21.45,35,Two year,Male,0,No,No,No,Bank transfer (automatic),0,0
97.05,45,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,0,0
19.9,2,Month-to-month,Female,0,No,No,No,Electronic check,0,0
80.15,22,Month-to-month,Female,0,Yes,Yes,Fiber optic,Electronic check,0,1
68.95,70,Two year,Male,0,Yes,Yes,DSL,Credit card (automatic),0,0
66.3,30,Month-to-month,Female,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
107.75,61,One year,Male,0,No,No,Fiber optic,Electronic check,0,0
20.35,29,One year,Female,0,No,No,No,Mailed check,0,0
105.55,61,Month-to-month,Male,0,Yes,No,Fiber optic,Electronic check,1,0
90.4,25,One year,Male,0,Yes,Yes,Fiber optic,Electronic check,1,1
113.15,71,One year,Male,0,Yes,No,Fiber optic,Bank transfer (automatic),0,0
35.0,1,Month-to-month,Female,0,Yes,No,DSL,Electronic check,0,1
70.45,62,Month-to-month,Female,0,Yes,Yes,DSL,Credit card (automatic),0,0
73.55,64,Month-to-month,Male,0,Yes,No,Fiber optic,Mailed check,0,0
90.6,64,Two year,Female,0,Yes,Yes,DSL,Mailed check,0,0
84.3,29,Month-to-month,Male,1,Yes,No,Fiber optic,Electronic check,0,1
70.75,2,Month-to-month,Female,0,No,No,DSL,Electronic check,1,0
19.65,1,Month-to-month,Male,0,No,No,No,Bank transfer (automatic),0,0
50.65,1,Month-to-month,Male,0,No,No,DSL,Mailed check,1,0
24.65,45,Two year,Female,0,Yes,Yes,No,Credit card (automatic),0,0
114.3,66,One year,Male,0,No,No,Fiber optic,Bank transfer (automatic),0,0
106.55,54,One year,Female,0,Yes,No,Fiber optic,Bank transfer (automatic),1,0
80.4,70,Two year,Female,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
92.5,37,Month-to-month,Male,1,Yes,No,Fiber optic,Electronic check,1,1
79.9,3,Month-to-month,Male,1,No,No,Fiber optic,Electronic check,1,1
55.3,23,Month-to-month,Male,0,No,Yes,DSL,Bank transfer (automatic),0,0
100.5,60,One year,Female,1,Yes,No,Fiber optic,Credit card (automatic),0,0
33.45,35,Month-to-month,Female,0,No,No,DSL,Mailed check,0,0
74.4,27,Month-to-month,Female,0,Yes,Yes,Fiber optic,Mailed check,0,0
52.5,24,Two year,Female,0,Yes,Yes,DSL,Mailed check,0,0
93.85,2,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,1,1
90.6,67,One year,Male,0,Yes,No,Fiber optic,Credit card (automatic),1,0
47.8,2,Month-to-month,Male,0,No,No,DSL,Electronic check,1,1
20.4,1,Month-to-month,Female,0,No,No,No,Mailed check,1,0
79.35,1,Month-to-month,Female,0,No,Yes,Fiber optic,Electronic check,1,1
54.25,14,One year,Female,0,No,No,DSL,Mailed check,0,0
94.75,38,Month-to-month,Male,1,No,No,Fiber optic,Electronic check,0,0
70.1,1,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,1
70.4,2,Month-to-month,Female,0,Yes,No,Fiber optic,Credit card (automatic),0,1
78.95,12,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,0
98.05,31,One year,Male,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
72.1,35,One year,Male,0,No,Yes,DSL,Mailed check,0,0
109.55,72,Two year,Male,1,Yes,No,Fiber optic,Bank transfer (automatic),0,0
94.2,8,Month-to-month,Female,0,Yes,Yes,Fiber optic,Electronic check,1,0
98.5,10,Month-to-month,Male,0,Yes,No,Fiber optic,Electronic check,1,1
69.05,5,Month-to-month,Female,1,No,No,Fiber optic,Mailed check,1,1
83.5,63,Two year,Male,0,Yes,Yes,DSL,Credit card (automatic),0,0
25.6,71,Two year,Female,0,Yes,No,No,Credit card (automatic),0,0
104.45,46,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,0,0
23.05,52,Two year,Female,0,Yes,Yes,No,Mailed check,0,0
46.3,1,Month-to-month,Male,0,No,No,DSL,Mailed check,1,1
79.6,1,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
112.75,72,Two year,Female,0,No,No,Fiber optic,Credit card (automatic),0,0
83.75,3,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,0
60.9,28,Month-to-month,Male,0,Yes,No,DSL,Mailed check,0,0
51.05,39,Month-to-month,Female,0,Yes,Yes,DSL,Credit card (automatic),0,0
25.7,33,Two year,Female,0,No,No,No,Credit card (automatic),0,0
60.65,12,One year,Female,0,No,No,DSL,Electronic check,0,0
74.5,1,Month-to-month,Male,0,Yes,Yes,Fiber optic,Electronic check,1,1
78.65,6,Month-to-month,Male,0,No,No,DSL,Credit card (automatic),0,0
86.05,3,Month-to-month,Male,0,No,No,Fiber optic,Mailed check,0,0
88.45,4,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
89.85,34,Month-to-month,Male,0,Yes,Yes,Fiber optic,Electronic check,0,0
19.95,1,Month-to-month,Male,0,No,No,No,Mailed check,0,0
96.3,15,Month-to-month,Female,1,No,No,Fiber optic,Mailed check,1,0
24.75,1,Month-to-month,Male,0,No,Yes,DSL,Electronic check,1,0
50.65,3,Month-to-month,Female,0,No,No,DSL,Mailed check,1,1
20.1,1,Month-to-month,Male,0,No,No,No,Mailed check,1,1
20.25,3,One year,Female,0,No,No,No,Mailed check,0,0
80.8,30,Two year,Female,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
53.85,5,Month-to-month,Female,0,No,No,DSL,Credit card (automatic),1,0
20.0,68,Two year,Male,1,No,No,No,Credit card (automatic),0,0
20.35,1,Month-to-month,Female,0,No,No,No,Mailed check,0,0
80.0,5,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,1
71.1,1,Month-to-month,Female,0,No,No,Fiber optic,Mailed check,1,0
20.0,13,One year,Male,0,Yes,Yes,No,Mailed check,0,0
80.05,35,Month-to-month,Female,0,No,No,Fiber optic,Credit card (automatic),0,1
69.55,4,Month-to-month,Male,0,Yes,Yes,Fiber optic,Mailed check,0,1
24.95,9,Month-to-month,Male,0,No,No,DSL,Electronic check,0,1
85.7,45,Month-to-month,Female,1,No,No,Fiber optic,Bank transfer (automatic),0,0
28.5,21,Month-to-month,Female,0,Yes,No,DSL,Electronic check,0,0
88.8,26,Month-to-month,Female,0,No,No,Fiber optic,Bank transfer (automatic),1,0
85.0,1,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,1
88.55,2,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,1,1
70.5,11,Month-to-month,Female,0,No,No,DSL,Mailed check,0,0
109.15,59,One year,Female,0,Yes,No,Fiber optic,Credit card (automatic),0,0
83.85,31,Month-to-month,Female,0,Yes,No,Fiber optic,Bank transfer (automatic),0,1
24.75,54,One year,Female,0,Yes,Yes,No,Bank transfer (automatic),0,0
19.3,16,One year,Female,0,No,Yes,No,Bank transfer (automatic),0,0
54.55,9,Month-to-month,Male,1,No,No,DSL,Electronic check,1,0
97.35,21,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,1
20.75,1,Month-to-month,Male,0,No,No,No,Credit card (automatic),0,0
54.4,23,Month-to-month,Female,0,No,No,DSL,Electronic check,0,0
74.4,7,Month-to-month,Male,1,Yes,No,Fiber optic,Mailed check,1,1
103.85,21,Month-to-month,Male,0,No,No,Fiber optic,Mailed check,0,1
107.65,65,Two year,Female,0,Yes,No,Fiber optic,Bank transfer (automatic),0,0
44.55,4,Month-to-month,Male,0,No,No,DSL,Electronic check,1,1
111.95,72,Two year,Male,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
41.95,68,Two year,Male,1,Yes,No,DSL,Electronic check,0,0
84.8,67,One year,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
79.25,1,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
95.65,69,One year,Female,0,Yes,No,Fiber optic,Credit card (automatic),0,0
89.9,60,Month-to-month,Male,0,No,No,Fiber optic,Bank transfer (automatic),0,0
88.35,3,Month-to-month,Male,0,No,No,Fiber optic,Mailed check,1,0
59.0,63,Two year,Male,0,Yes,Yes,DSL,Electronic check,0,0
91.25,71,Two year,Male,0,Yes,Yes,DSL,Mailed check,0,0
85.95,35,One year,Female,0,No,No,DSL,Credit card (automatic),1,0
70.0,34,Month-to-month,Female,0,No,No,Fiber optic,Credit card (automatic),1,0
69.7,53,Two year,Male,0,Yes,Yes,DSL,Mailed check,0,0
34.4,17,Month-to-month,Male,0,Yes,No,DSL,Mailed check,0,0
60.0,1,Month-to-month,Female,0,No,Yes,DSL,Electronic check,1,0
80.9,56,One year,Male,0,Yes,No,Fiber optic,Electronic check,0,0
49.75,7,One year,Male,0,Yes,Yes,DSL,Electronic check,1,0
111.3,67,Two year,Male,0,Yes,No,Fiber optic,Bank transfer (automatic),0,0
60.9,11,Month-to-month,Male,0,No,No,DSL,Electronic check,0,0
20.25,1,Month-to-month,Male,0,No,Yes,No,Mailed check,0,0
24.85,2,Month-to-month,Male,0,No,No,No,Mailed check,0,0
105.35,69,Two year,Female,0,Yes,No,Fiber optic,Bank transfer (automatic),0,0
79.95,1,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
90.05,21,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,0,0
97.25,72,One year,Male,1,Yes,No,Fiber optic,Credit card (automatic),0,0
84.05,2,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,0,1
20.75,57,Two year,Male,0,No,No,No,Mailed check,0,0
89.55,1,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,0
80.6,4,Month-to-month,Male,0,Yes,No,Fiber optic,Mailed check,1,1
19.4,2,Month-to-month,Female,0,No,No,No,Mailed check,0,0
76.85,9,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,0,1
111.3,71,Two year,Female,0,No,No,Fiber optic,Mailed check,0,0
18.8,13,Month-to-month,Female,0,Yes,Yes,No,Mailed check,0,0
44.8,50,One year,Male,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
89.8,10,Month-to-month,Male,1,Yes,No,Fiber optic,Electronic check,1,1
94.25,64,Month-to-month,Male,1,Yes,No,Fiber optic,Electronic check,0,0
69.8,1,Month-to-month,Female,0,Yes,Yes,Fiber optic,Electronic check,1,1
24.9,2,Month-to-month,Male,0,No,No,DSL,Credit card (automatic),0,1
110.45,30,One year,Female,0,No,No,Fiber optic,Credit card (automatic),0,0
90.45,7,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
19.4,26,One year,Male,0,No,No,No,Mailed check,0,0
50.0,20,Month-to-month,Male,0,No,No,DSL,Mailed check,0,0
26.0,72,Two year,Female,0,Yes,No,No,Mailed check,0,0
55.95,13,Month-to-month,Female,0,Yes,Yes,DSL,Electronic check,1,0
84.6,70,Two year,Male,0,Yes,No,Fiber optic,Bank transfer (automatic),0,0
29.75,3,Month-to-month,Male,0,No,No,DSL,Electronic check,0,0
76.5,2,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
115.75,72,Two year,Female,1,Yes,No,Fiber optic,Credit card (automatic),0,0
83.85,33,Month-to-month,Male,1,No,No,Fiber optic,Credit card (automatic),1,0
74.4,15,Month-to-month,Male,1,No,No,Fiber optic,Electronic check,1,1
29.15,1,Month-to-month,Male,0,No,No,DSL,Mailed check,0,0
98.8,55,Month-to-month,Male,1,No,No,Fiber optic,Electronic check,1,0
64.4,5,Month-to-month,Male,0,Yes,Yes,DSL,Credit card (automatic),0,0
79.65,3,Month-to-month,Male,0,Yes,No,Fiber optic,Bank transfer (automatic),1,1
89.85,65,One year,Female,0,No,No,Fiber optic,Electronic check,0,0
59.8,39,One year,Male,0,Yes,Yes,DSL,Electronic check,0,0
25.15,70,Two year,Male,0,Yes,No,No,Bank transfer (automatic),0,0
116.25,34,One year,Male,0,No,No,Fiber optic,Credit card (automatic),0,0
49.9,30,Month-to-month,Male,0,Yes,No,DSL,Electronic check,0,0
49.85,12,Month-to-month,Female,0,Yes,No,DSL,Bank transfer (automatic),0,1
20.1,9,One year,Male,0,No,Yes,No,Mailed check,0,0
56.3,49,One year,Female,0,Yes,No,DSL,Credit card (automatic),0,0
44.25,7,Month-to-month,Female,0,Yes,No,DSL,Mailed check,0,0
83.45,38,Month-to-month,Female,1,Yes,No,Fiber optic,Electronic check,0,0
109.2,63,Two year,Male,0,No,No,Fiber optic,Credit card (automatic),0,0
71.65,1,Month-to-month,Male,1,No,No,Fiber optic,Electronic check,1,0
89.9,30,Month-to-month,Male,0,No,No,Fiber optic,Credit card (automatic),0,0
73.75,23,One year,Female,0,No,No,DSL,Mailed check,0,0
69.75,57,Two year,Female,0,No,No,DSL,Mailed check,0,0
75.65,70,Two year,Female,1,Yes,No,Fiber optic,Credit card (automatic),0,0
106.7,71,Two year,Male,0,No,Yes,Fiber optic,Bank transfer (automatic),0,0
49.6,20,Month-to-month,Male,0,Yes,Yes,DSL,Electronic check,0,0
25.2,72,Two year,Female,0,Yes,Yes,No,Bank transfer (automatic),0,0
69.7,22,Month-to-month,Male,0,No,No,Fiber optic,Mailed check,0,0
26.35,15,Month-to-month,Male,0,No,No,No,Electronic check,0,0
48.75,9,Month-to-month,Female,0,Yes,No,DSL,Electronic check,1,1
105.0,38,Month-to-month,Female,0,Yes,No,Fiber optic,Electronic check,1,0
29.8,7,Month-to-month,Male,1,Yes,No,DSL,Bank transfer (automatic),0,0
73.05,26,Month-to-month,Female,0,Yes,No,DSL,Electronic check,0,0
60.25,56,One year,Female,0,No,No,DSL,Credit card (automatic),0,0
20.05,49,One year,Female,0,Yes,No,No,Bank transfer (automatic),0,0
70.25,3,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,0,1
74.4,1,Month-to-month,Male,1,Yes,No,Fiber optic,Electronic check,1,1
19.55,70,Two year,Female,1,Yes,No,No,Credit card (automatic),0,0
55.8,23,One year,Female,0,No,No,DSL,Bank transfer (automatic),0,0
59.6,65,Two year,Female,0,No,No,DSL,Mailed check,0,0
108.4,69,Two year,Male,1,Yes,No,Fiber optic,Bank transfer (automatic),1,0
55.4,1,Month-to-month,Female,0,No,No,DSL,Electronic check,1,0
90.35,24,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
95.15,25,Month-to-month,Female,0,Yes,No,Fiber optic,Electronic check,0,0
19.9,17,One year,Female,0,No,No,No,Bank transfer (automatic),0,0
70.5,32,One year,Male,0,Yes,No,DSL,Mailed check,0,0
19.95,68,Two year,Male,0,Yes,Yes,No,Bank transfer (automatic),0,0
20.15,70,Two year,Female,0,Yes,Yes,No,Credit card (automatic),0,0
105.2,54,One year,Male,0,Yes,Yes,Fiber optic,Electronic check,0,0
19.4,15,Month-to-month,Female,0,No,No,No,Bank transfer (automatic),1,0
66.85,71,One year,Male,0,Yes,Yes,DSL,Credit card (automatic),0,0
19.85,70,Two year,Male,0,Yes,No,No,Credit card (automatic),0,0
95.85,53,One year,Female,1,Yes,No,Fiber optic,Credit card (automatic),0,0
80.15,2,Month-to-month,Female,0,Yes,No,Fiber optic,Electronic check,0,1
79.2,59,Two year,Female,1,No,No,Fiber optic,Credit card (automatic),0,0
84.15,22,Month-to-month,Female,0,No,No,Fiber optic,Bank transfer (automatic),0,0
75.8,22,Month-to-month,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
49.9,57,Month-to-month,Female,0,Yes,No,DSL,Bank transfer (automatic),0,0
71.35,1,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,1
102.1,10,Month-to-month,Female,0,Yes,Yes,Fiber optic,Credit card (automatic),1,0
51.65,55,Month-to-month,Female,1,Yes,No,DSL,Bank transfer (automatic),0,0
24.45,43,One year,Female,0,Yes,Yes,No,Bank transfer (automatic),0,0
48.35,18,Month-to-month,Female,1,Yes,No,DSL,Electronic check,1,1
80.55,2,Month-to-month,Female,0,No,Yes,Fiber optic,Credit card (automatic),0,1
25.05,52,Two year,Female,0,Yes,Yes,No,Bank transfer (automatic),0,0
61.35,60,Two year,Male,0,Yes,No,DSL,Mailed check,0,0
83.25,59,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,0,0
104.0,69,Two year,Female,0,No,No,Fiber optic,Electronic check,0,0
100.55,14,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
60.4,43,One year,Female,0,Yes,Yes,DSL,Credit card (automatic),0,0
19.4,12,Month-to-month,Female,0,Yes,Yes,No,Bank transfer (automatic),0,0
19.5,8,Two year,Female,0,Yes,Yes,No,Mailed check,0,0
69.15,3,Month-to-month,Female,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
105.05,58,One year,Male,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
63.15,13,Month-to-month,Female,0,Yes,Yes,DSL,Mailed check,0,0
20.15,23,One year,Male,0,No,No,No,Bank transfer (automatic),0,0
78.9,17,Month-to-month,Female,0,Yes,No,Fiber optic,Electronic check,0,0
109.3,52,Two year,Male,0,No,No,Fiber optic,Electronic check,0,0
78.9,32,Month-to-month,Male,0,Yes,No,Fiber optic,Electronic check,1,0
34.85,36,Month-to-month,Female,0,No,No,DSL,Bank transfer (automatic),0,0
